AWG Voltage, ADC Value Expected, ADC Value Measured
0,0,0
0.05,10,0
0.1,20,0
0.15,30,0
0.2,40,0
0.25,51,0
0.3,61,0
0.35,71,0
0.4,81,0
0.45,92,0
0.5,102,0
0.55,112,0
0.6,122,0
0.65,133,0
0.7,143,0
0.75,153,0
0.8,163,158
0.85,174,501
0.9,184,862
0.95,194,1243
1,204,1642
1.05,215,2058
1.1,225,2492
1.15,235,2944
1.2,245,3414
1.25,256,3901
1.3,266,4406
1.35,276,4928
1.4,286,5470
1.45,296,6028
1.5,307,6602
1.55,317,7192
1.6,327,7804
1.65,337,8433
1.7,348,9080
1.75,358,9746
1.8,368,10429
1.85,378,11131
1.9,389,11850
1.95,399,12586
2,409,13342
2.05,419,14115
2.1,430,14907
2.15,440,15716
2.2,450,16543
2.25,460,17393
2.3,471,18263
2.35,481,19132
2.4,491,20019
2.45,501,20934
2.5,512,21866
2.55,522,22816
2.6,532,23783
2.65,542,24768
2.7,552,25770
2.75,563,26792
2.8,573,27830
2.85,583,28887
2.9,593,29961
2.95,604,31052
3,614,32162
3.05,624,-32247
3.1,634,-31100
3.15,645,-29937
3.2,655,-28756
3.25,665,-27558
3.3,675,-26344
3.35,686,-25113
3.4,696,-23865
3.45,706,-22601
3.5,716,-21319
3.55,727,-20022
3.6,737,-18709
3.65,747,-17379
3.7,757,-16035
3.75,768,-14675
3.8,778,-13300
3.85,788,-11911
3.9,798,-10506
3.95,808,-9089
4,819,-7657
4.05,829,-6212
4.1,839,-4755
4.15,849,-3284
4.2,860,-1802
4.25,870,-308
4.3,880,1198
4.35,890,2715
4.4,901,4245
4.45,911,5784
4.5,921,7332
4.55,931,8889
4.6,942,10454
4.65,952,12034
4.7,962,13626
4.75,972,15228
4.8,983,16839
4.85,993,18462
4.9,1003,20099
4.95,1013,21743
5,1024,23378
